Players,Team,Type,Base,Sold
Ramesh Prasad,-,BOWL,0.3,TBA
Shivam Shukla,-,BOWL,0.3,TBA
Himanshu Singh,-,BOWL,0.3,TBA
Tejpreet Singh,-,BOWL,0.3,TBA
Qais Ahmad,-,AR,0.75,TBA
Charith Asalanka,-,AR,0.75,TBA
Michael Bracewell,-,AR,1.5,Unsold
Gudakesh Motie,-,AR,0.75,TBA
Dan Mousley,-,AR,0.75,TBA
Jamie Overton,CSK,AR,1.5,1.5
Dunith Wellalage,-,AR,0.75,TBA
Ottneil Baartman,-,BOWL,0.75,Unsold
Xavier Bartlett,PBKS,BOWL,0.75,0.8
Dilshan Madushanka,-,BOWL,0.75,Unsold
Adam Milne,-,BOWL,2,Unsold
Lungi Ngidi,RCB,BOWL,1,1
William O’Rourke,-,BOWL,1.5,Unsold
Chetan Sakariya,-,BOWL,0.75,Unsold
Sandeep Warrier,-,BOWL,0.75,Unsold
Musaif Ajaz,-,BAT,0.3,TBA
Agni Chopra,-,BAT,0.3,TBA
Abhimanyu Easwaran,-,BAT,0.3,TBA
Sudip Kumar Gharami,-,BAT,0.3,TBA
Shubham Khajuria,-,BAT,0.3,TBA
Akhil Rawat,-,BAT,0.3,TBA
Prateek Yadav,-,BAT,0.3,TBA
Abdul Basith,-,AR,0.3,Unsold
KC Cariappa,-,AR,0.3,TBA
Yuvraj Chaudhary,LSG,AR,0.3,Unsold
Aman Khan,-,AR,0.3,TBA
Sumit Kumar,-,AR,0.3,TBA
Kamlesh Nagarkoti,CSK,AR,0.3,0.3
Hardik Raj,-,AR,0.3,TBA
Harsh Tyagi,-,AR,0.3,TBA
M Ajnas,-,BAT,0.3,TBA
Unmukt Chand,-,BAT,0.3,TBA
Tejasvi Dahiya,-,BAT,0.3,Unsold
Sumit Ghadigaonkar,-,BAT,0.3,TBA
Baba Indrajith,-,BAT,0.3,TBA
Muhammed Adnan Khan,-,BAT,0.3,TBA
Bhagmender Lather,-,BAT,0.3,TBA
Baltej Singh,-,BOWL,0.3,TBA
Ali Khan,-,BOWL,0.3,TBA
Ravi Kumar,-,BOWL,0.3,TBA
Vineet Panwar,-,BOWL,0.3,TBA
Vidyadhar Patil,-,BOWL,0.3,TBA
Aaradhya Shukla,-,BOWL,0.3,TBA
Abhinandan Singh,RCB,BOWL,0.3,0.3
Cooper Connolly,-,AR,0.75,TBA
Dushan Hemantha,-,AR,0.75,TBA
Jason Holder,-,AR,2,TBA
Karim Janat,GT,AR,0.75,0.75
James Neesham,-,AR,1.5,TBA
Daniel Sams,-,AR,1.5,TBA
Will Sutherland,-,AR,0.75,TBA
Taskin Ahmed,-,BOWL,1,TBA
Ben Dwarshuis,-,BOWL,0.75,TBA
Obed McCoy,-,BOWL,1.25,TBA
